mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_column_transformer__numerical_preprocessing__imputer__strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5905200481414795,0.04363972754204309,0.1831329345703125,0.05154265209958666,log2,5,14,mean,"{'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 14, 'column_transformer__numerical_preprocessing__imputer__strategy': 'mean'}",0.5327102803738317,0.6736161035226456,0.5089863407620417,0.5744069015097053,0.5719424460431655,0.5723324144422779,0.056294724094738485,86
0.7961881637573243,0.04555839717830835,0.1610184669494629,0.11540077837819566,sqrt,7,8,median,"{'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 7, 'classifier__min_samples_split': 8, 'column_transformer__numerical_preprocessing__imputer__strategy': 'median'}",0.7419122933141624,0.7311286843997125,0.7217828900071891,0.7735442127965493,0.7366906474820144,0.7410117455999254,0.017579920836699472,61
1.1898955345153808,0.189514899941646,0.14118375778198242,0.0813073118838371,sqrt,9,6,median,"{'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 9, 'classifier__min_samples_split': 6, 'column_transformer__numerical_preprocessing__imputer__strategy': 'median'}",0.7419122933141624,0.7311286843997125,0.7225017972681524,0.7742631200575126,0.7366906474820144,0.7412993085043109,0.01769189872377231,55
91.6207866191864,0.1362142214441127,0.12316417694091797,0.02116193708646868,,9,12,median,"{'classifier__max_features': None, 'classifier__min_samples_leaf': 9, 'classifier__min_samples_split': 12, 'column_transformer__numerical_preprocessing__imputer__strategy': 'median'}",0.803019410496046,0.7951114306254493,0.8123652048885693,0.7972681524083394,0.7913669064748201,0.7998262209786449,0.007317862277290761,21
90.64545049667359,1.3700115637397694,0.1916499614715576,0.09586752739695442,,9,10,median,"{'classifier__max_features': None, 'classifier__min_samples_leaf': 9, 'classifier__min_samples_split': 10, 'column_transformer__numerical_preprocessing__imputer__strategy': 'median'}",0.803019410496046,0.7951114306254493,0.8123652048885693,0.7972681524083394,0.7913669064748201,0.7998262209786449,0.007317862277290761,21
2.839247941970825,0.1526030874973487,0.20155038833618164,0.024517185803526083,sqrt,3,4,median,"{'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 4, 'column_transformer__numerical_preprocessing__imputer__strategy': 'median'}",0.7483824586628325,0.7347232207045291,0.7340043134435658,0.7663551401869159,0.7345323741007195,0.7435995014197125,0.012599718767846524,44
90.58136854171752,0.5855960856947279,0.09948158264160156,0.03585138060566245,,4,5,mean,"{'classifier__max_features': None, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5, 'column_transformer__numerical_preprocessing__imputer__strategy': 'mean'}",0.8102084831056794,0.7979870596693026,0.8159597411933861,0.8001437814521927,0.7913669064748201,0.803133194379076,0.008814134522332633,1
90.12458696365357,0.5962775838936036,0.1506648063659668,0.08245859095182943,,8,11,median,"{'classifier__max_features': None, 'classifier__min_samples_leaf': 8, 'classifier__min_samples_split': 11, 'column_transformer__numerical_preprocessing__imputer__strategy': 'median'}",0.7994248741912293,0.7951114306254493,0.811646297627606,0.7994248741912293,0.7899280575539568,0.7991071068378942,0.00717849053762884,31
87.67010426521301,5.1438965514180195,0.11357355117797852,0.06636851098062206,,5,13,mean,"{'classifier__max_features': None, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 13, 'column_transformer__numerical_preprocessing__imputer__strategy': 'mean'}",0.805176132278936,0.798705966930266,0.8145219266714594,0.7958303378864127,0.7884892086330936,0.8005447144800335,0.00880629379382717,17
1.393876886367798,0.40694398549898914,0.15182557106018066,0.060582312122022745,log2,2,3,median,"{'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 3, 'column_transformer__numerical_preprocessing__imputer__strategy': 'median'}",0.6707404744787923,0.6879942487419123,0.7095614665708123,0.6484543493889289,0.6949640287769784,0.6823429135914848,0.021048188239707975,75
107.93638443946838,1.4133333368786254,0.2791287899017334,0.05587918385543206,,1,13,median,"{'classifier__max_features': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 13, 'column_transformer__numerical_preprocessing__imputer__strategy': 'median'}",0.8023005032350827,0.798705966930266,0.813803019410496,0.7929547088425594,0.7834532374100719,0.7982434871656952,0.010054799596032634,34
2.074649953842163,0.11389703177240462,0.6589782238006592,0.291499059569122,log2,6,14,median,"{'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 6, 'classifier__min_samples_split': 14, 'column_transformer__numerical_preprocessing__imputer__strategy': 'median'}",0.5327102803738317,0.6671459381739756,0.5089863407620417,0.5758447160316319,0.5690647482014388,0.570750404708584,0.05400507933961327,93
2.0555004596710207,0.21276789710880925,0.43631730079650877,0.02325008289834495,log2,5,3,mean,"{'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 3, 'column_transformer__numerical_preprocessing__imputer__strategy': 'mean'}",0.5327102803738317,0.6736161035226456,0.5089863407620417,0.5744069015097053,0.5719424460431655,0.5723324144422779,0.056294724094738485,86
